Model,MSO58
Channel,CH6,,Channel,CH7,,Channel,CH8,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,2324.10000000,,Zero Index,2324.10000000,,Zero Index,2324.10000000,,Zero Index,2324.10000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-0.860000,,yPosition,-2.100000,,yPosition,-2.940000,,,

TIME,CH6,CH7,CH8,,TIME,MATH1
-3.71856000e-06,-4.12031250e+00,2.11554688e+03,6.32812500e+00,,-3.71856000e-06,2.14199117e-05
-3.71696000e-06,-4.00468750e+00,2.11484375e+03,5.14062500e+00,,-3.71696000e-06,4.08271626e-05
-3.71536000e-06,-4.10468750e+00,2.11492188e+03,4.46875000e+00,,-3.71536000e-06,5.70853044e-05
-3.71376000e-06,-4.10000000e+00,2.11843750e+03,4.84375000e+00,,-3.71376000e-06,7.28550949e-05
-3.71216000e-06,-4.00625000e+00,2.11539062e+03,5.53125000e+00,,-3.71216000e-06,9.04246408e-05
-3.71056000e-06,-4.06875000e+00,2.11906250e+03,4.89062500e+00,,-3.71056000e-06,1.08076078e-04
-3.70896000e-06,-4.11093750e+00,2.11500000e+03,5.21875000e+00,,-3.70896000e-06,1.25197039e-04
-3.70736000e-06,-4.04531250e+00,2.10789062e+03,5.82812500e+00,,-3.70736000e-06,1.43855199e-04
-3.70576000e-06,-4.04218750e+00,2.11351562e+03,4.59375000e+00,,-3.70576000e-06,1.61450414e-04
-3.70416000e-06,-4.11250000e+00,2.11703125e+03,3.93750000e+00,,-3.70416000e-06,1.75886235e-04
-3.70256000e-06,-3.97187500e+00,2.11156250e+03,5.37500000e+00,,-3.70256000e-06,1.91634608e-04
-3.70096000e-06,-4.07500000e+00,2.11281250e+03,5.01562500e+00,,-3.70096000e-06,2.09191989e-04
-3.69936000e-06,-4.12343750e+00,2.11812500e+03,4.79687500e+00,,-3.69936000e-06,2.25797950e-04
-3.69776000e-06,-4.05781250e+00,2.11421875e+03,5.98437500e+00,,-3.69776000e-06,2.44048075e-04
-3.69616000e-06,-3.93750000e+00,2.11039062e+03,5.60937500e+00,,-3.69616000e-06,2.63640279e-04
-3.69456000e-06,-4.12187500e+00,2.11359375e+03,4.06250000e+00,,-3.69456000e-06,2.79979839e-04
-3.69296000e-06,-4.15312500e+00,2.11234375e+03,6.12500000e+00,,-3.69296000e-06,2.97199498e-04
-3.69136000e-06,-4.05000000e+00,2.11226562e+03,4.96875000e+00,,-3.69136000e-06,3.15946236e-04
-3.68976000e-06,-4.14843750e+00,2.11351562e+03,4.40625000e+00,,-3.68976000e-06,3.31792631e-04
-3.68816000e-06,-4.11406250e+00,2.11765625e+03,4.79687500e+00,,-3.68816000e-06,3.47369292e-04
-3.68656000e-06,-3.96718750e+00,2.11078125e+03,4.50000000e+00,,-3.68656000e-06,3.63094616e-04
-3.68496000e-06,-4.17031250e+00,2.11539062e+03,3.79687500e+00,,-3.68496000e-06,3.77118937e-04
-3.68336000e-06,-4.15468750e+00,2.11281250e+03,4.82812500e+00,,-3.68336000e-06,3.91705165e-04
-3.68176000e-06,-3.93906250e+00,2.10609375e+03,4.39062500e+00,,-3.68176000e-06,4.07263549e-04
-3.68016000e-06,-4.07656250e+00,2.11539062e+03,3.54687500e+00,,-3.68016000e-06,4.20663622e-04
-3.67856000e-06,-4.04218750e+00,2.11367188e+03,3.95312500e+00,,-3.67856000e-06,4.33350535e-04
-3.67696000e-06,-4.00937500e+00,2.10796875e+03,6.12500000e+00,,-3.67696000e-06,4.50364081e-04
-3.67536000e-06,-4.04375000e+00,2.11414062e+03,4.17187500e+00,,-3.67536000e-06,4.67749080e-04
-3.67376000e-06,-4.04218750e+00,2.11570312e+03,3.93750000e+00,,-3.67376000e-06,4.81469498e-04
-3.67216000e-06,-4.12343750e+00,2.10960938e+03,5.35937500e+00,,-3.67216000e-06,4.97178931e-04
-3.67056000e-06,-3.97812500e+00,2.10968750e+03,4.39062500e+00,,-3.67056000e-06,5.13634179e-04
-3.66896000e-06,-4.10937500e+00,2.11273438e+03,3.95312500e+00,,-3.66896000e-06,5.27725962e-04
-3.66736000e-06,-4.13750000e+00,2.11390625e+03,5.78125000e+00,,-3.66736000e-06,5.44184295e-04
-3.66576000e-06,-3.91875000e+00,2.10921875e+03,4.73437500e+00,,-3.66576000e-06,5.61949797e-04
-3.66416000e-06,-4.01718750e+00,2.11328125e+03,3.95312500e+00,,-3.66416000e-06,5.76621736e-04
-3.66256000e-06,-4.10156250e+00,2.11796875e+03,4.32812500e+00,,-3.66256000e-06,5.90638432e-04
-3.66096000e-06,-3.90625000e+00,2.11648438e+03,4.81250000e+00,,-3.66096000e-06,6.06120389e-04
-3.65936000e-06,-4.03437500e+00,2.11578125e+03,3.95312500e+00,,-3.65936000e-06,6.20960025e-04
-3.65776000e-06,-4.11093750e+00,2.11867188e+03,3.71875000e+00,,-3.65776000e-06,6.33954245e-04
-3.65616000e-06,-4.09687500e+00,2.11101562e+03,4.46875000e+00,,-3.65616000e-06,6.47804176e-04
-3.65456000e-06,-4.09687500e+00,2.11453125e+03,5.09375000e+00,,-3.65456000e-06,6.63967745e-04
-3.65296000e-06,-4.05937500e+00,2.11757812e+03,3.28125000e+00,,-3.65296000e-06,6.78143115e-04
-3.65136000e-06,-4.10468750e+00,2.11039062e+03,5.57812500e+00,,-3.65136000e-06,6.93119364e-04
-3.64976000e-06,-4.02500000e+00,2.11421875e+03,4.10937500e+00,,-3.64976000e-06,7.09487475e-04
-3.64816000e-06,-4.02968750e+00,2.11593750e+03,3.48437500e+00,,-3.64816000e-06,7.22336117e-04
-3.64656000e-06,-4.01406250e+00,2.11523438e+03,5.95312500e+00,,-3.64656000e-06,7.38308125e-04
-3.64496000e-06,-4.05000000e+00,2.11882812e+03,4.23437500e+00,,-3.64496000e-06,7.55559478e-04
-3.64336000e-06,-4.02968750e+00,2.11765625e+03,3.57812500e+00,,-3.64336000e-06,7.68798811e-04
-3.64176000e-06,-4.06562500e+00,2.11703125e+03,4.92187500e+00,,-3.64176000e-06,7.83196418e-04
-3.64016000e-06,-3.97812500e+00,2.11601562e+03,4.43750000e+00,,-3.64016000e-06,7.99044094e-04
-3.63856000e-06,-4.07031250e+00,2.11390625e+03,3.48437500e+00,,-3.63856000e-06,8.12448445e-04
-3.63696000e-06,-4.17343750e+00,2.11187500e+03,4.42187500e+00,,-3.63696000e-06,8.25811701e-04
-3.63536000e-06,-3.98593750e+00,2.11101562e+03,4.65625000e+00,,-3.63536000e-06,8.41145986e-04
-3.63376000e-06,-4.09531250e+00,2.11218750e+03,4.20312500e+00,,-3.63376000e-06,8.56111757e-04
-3.63216000e-06,-4.10468750e+00,2.11398438e+03,5.12500000e+00,,-3.63216000e-06,8.71881319e-04
-3.63056000e-06,-3.99218750e+00,2.11164062e+03,4.76562500e+00,,-3.63056000e-06,8.88599257e-04
-3.62896000e-06,-4.00156250e+00,2.11125000e+03,4.54687500e+00,,-3.62896000e-06,9.04329587e-04
-3.62736000e-06,-4.10468750e+00,2.11632812e+03,3.89062500e+00,,-3.62736000e-06,9.18596343e-04
-3.62576000e-06,-4.00468750e+00,2.11187500e+03,5.40625000e+00,,-3.62576000e-06,9.34317301e-04
-3.62416000e-06,-4.04687500e+00,2.11515625e+03,4.15625000e+00,,-3.62416000e-06,9.50484071e-04
-3.62256000e-06,-4.10312500e+00,2.11804688e+03,3.62500000e+00,,-3.62256000e-06,9.63659317e-04
-3.62096000e-06,-4.15625000e+00,2.11273438e+03,5.95312500e+00,,-3.62096000e-06,9.79863573e-04
-3.61936000e-06,-4.10312500e+00,2.11281250e+03,4.64062500e+00,,-3.61936000e-06,9.97769297e-04
-3.61776000e-06,-4.15156250e+00,2.11523438e+03,3.12500000e+00,,-3.61776000e-06,1.01090118e-03
-3.61616000e-06,-4.07968750e+00,2.11460938e+03,5.57812500e+00,,-3.61616000e-06,1.02562574e-03
