Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.27952000e-06,-1.00312500e+01,7.92578125e+02,-1.04687500e+00,3.51562500e-01,,-2.27952000e-06,-1.32756838e-06
-2.27792000e-06,-9.98437500e+00,7.94062500e+02,-8.75000000e-01,8.67187500e-01,,-2.27792000e-06,-2.54719635e-06
-2.27632000e-06,-1.00031250e+01,7.93750000e+02,-1.32812500e+00,7.03125000e-01,,-2.27632000e-06,-3.94639937e-06
-2.27472000e-06,-1.00000000e+01,7.89453125e+02,-7.57812500e-01,6.32812500e-01,,-2.27472000e-06,-5.26836493e-06
-2.27312000e-06,-1.00781250e+01,7.91640625e+02,-7.10937500e-01,6.40625000e-01,,-2.27312000e-06,-6.19721641e-06
-2.27152000e-06,-9.94687500e+00,7.94062500e+02,-1.38281250e+00,8.28125000e-01,,-2.27152000e-06,-7.52589358e-06
-2.26992000e-06,-1.00578125e+01,7.91718750e+02,-9.21875000e-01,7.10937500e-01,,-2.26992000e-06,-8.98821781e-06
-2.26832000e-06,-1.00046875e+01,7.91796875e+02,-6.87500000e-01,8.28125000e-01,,-2.26832000e-06,-1.00075986e-05
-2.26672000e-06,-9.99531250e+00,7.95703125e+02,-1.10156250e+00,7.10937500e-01,,-2.26672000e-06,-1.11443005e-05
-2.26512000e-06,-1.00062500e+01,7.88359375e+02,-8.35937500e-01,1.07031250e+00,,-2.26512000e-06,-1.23727295e-05
-2.26352000e-06,-1.00000000e+01,7.88437500e+02,-8.35937500e-01,9.45312500e-01,,-2.26352000e-06,-1.34272123e-05
-2.26192000e-06,-1.00500000e+01,7.92421875e+02,-9.84375000e-01,7.96875000e-01,,-2.26192000e-06,-1.45785125e-05
-2.26032000e-06,-1.00609375e+01,7.92890625e+02,-5.31250000e-01,8.75000000e-01,,-2.26032000e-06,-1.55395228e-05
-2.25872000e-06,-1.00562500e+01,7.95312500e+02,-7.81250000e-01,9.37500000e-01,,-2.25872000e-06,-1.63735713e-05
-2.25712000e-06,-1.00328125e+01,7.93203125e+02,-6.71875000e-01,6.71875000e-01,,-2.25712000e-06,-1.72969885e-05
-2.25552000e-06,-1.00703125e+01,7.96640625e+02,-8.35937500e-01,1.25000000e+00,,-2.25552000e-06,-1.82560889e-05
-2.25392000e-06,-1.00578125e+01,7.91406250e+02,-6.25000000e-01,7.73437500e-01,,-2.25392000e-06,-1.91845447e-05
-2.25232000e-06,-9.98750000e+00,7.89531250e+02,-9.84375000e-01,7.57812500e-01,,-2.25232000e-06,-2.02020037e-05
-2.25072000e-06,-1.01140625e+01,7.94140625e+02,-6.48437500e-01,1.03906250e+00,,-2.25072000e-06,-2.12357209e-05
-2.24912000e-06,-1.00656250e+01,7.89062500e+02,-1.06250000e+00,7.96875000e-01,,-2.24912000e-06,-2.23183852e-05
-2.24752000e-06,-1.00484375e+01,7.87968750e+02,-9.29687500e-01,7.89062500e-01,,-2.24752000e-06,-2.35751395e-05
