Model,MSO58
Channel,CH6,,Channel,CH7,,Channel,CH8,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,2324.20000000,,Zero Index,2324.20000000,,Zero Index,2324.20000000,,Zero Index,2324.20000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-0.860000,,yPosition,-2.100000,,yPosition,-2.940000,,,

TIME,CH6,CH7,CH8,,TIME,MATH1
-3.71872000e-06,-4.10468750e+00,1.06039062e+03,4.75000000e+00,,-3.71872000e-06,8.05896889e-06
-3.71712000e-06,-4.03281250e+00,1.06226562e+03,5.07812500e+00,,-3.71712000e-06,1.64039066e-05
-3.71552000e-06,-3.98906250e+00,1.05234375e+03,5.51562500e+00,,-3.71552000e-06,2.53628277e-05
-3.71392000e-06,-4.13906250e+00,1.06226562e+03,5.07812500e+00,,-3.71392000e-06,3.43217471e-05
-3.71232000e-06,-4.12812500e+00,1.06492188e+03,5.42187500e+00,,-3.71232000e-06,4.32562993e-05
-3.71072000e-06,-4.09218750e+00,1.05515625e+03,5.78125000e+00,,-3.71072000e-06,5.27554948e-05
-3.70912000e-06,-3.98750000e+00,1.05523438e+03,5.03125000e+00,,-3.70912000e-06,6.18829145e-05
-3.70752000e-06,-4.09062500e+00,1.06062500e+03,4.39062500e+00,,-3.70752000e-06,6.98556760e-05
-3.70592000e-06,-4.03750000e+00,1.05695312e+03,6.40625000e+00,,-3.70592000e-06,7.89980040e-05
-3.70432000e-06,-3.99062500e+00,1.05320312e+03,5.21875000e+00,,-3.70432000e-06,8.88120121e-05
-3.70272000e-06,-4.05156250e+00,1.06062500e+03,4.03125000e+00,,-3.70272000e-06,9.66296502e-05
-3.70112000e-06,-4.05312500e+00,1.05601562e+03,6.06250000e+00,,-3.70112000e-06,1.05171843e-04
-3.69952000e-06,-4.01875000e+00,1.05648438e+03,5.12500000e+00,,-3.69952000e-06,1.14625102e-04
-3.69792000e-06,-3.97968750e+00,1.05781250e+03,4.53125000e+00,,-3.69792000e-06,1.22791258e-04
-3.69632000e-06,-4.00781250e+00,1.05789062e+03,5.67187500e+00,,-3.69632000e-06,1.31426001e-04
-3.69472000e-06,-3.97968750e+00,1.05242188e+03,4.64062500e+00,,-3.69472000e-06,1.40133299e-04
-3.69312000e-06,-3.97812500e+00,1.05914062e+03,5.15625000e+00,,-3.69312000e-06,1.48409366e-04
-3.69152000e-06,-4.09843750e+00,1.06132812e+03,4.51562500e+00,,-3.69152000e-06,1.56612368e-04
-3.68992000e-06,-4.05468750e+00,1.05546875e+03,4.25000000e+00,,-3.68992000e-06,1.64035009e-04
-3.68832000e-06,-4.04843750e+00,1.06382812e+03,4.60937500e+00,,-3.68832000e-06,1.71546475e-04
-3.68672000e-06,-4.11718750e+00,1.05953125e+03,4.92187500e+00,,-3.68672000e-06,1.79641240e-04
-3.68512000e-06,-4.10625000e+00,1.05539062e+03,5.17187500e+00,,-3.68512000e-06,1.88179823e-04
-3.68352000e-06,-4.11718750e+00,1.05531250e+03,5.39062500e+00,,-3.68352000e-06,1.97097543e-04
-3.68192000e-06,-4.01718750e+00,1.06242188e+03,4.48437500e+00,,-3.68192000e-06,2.05460019e-04
