Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.27872000e-06,-1.00984375e+01,1.18898438e+03,-7.03125000e-02,1.07812500e+00,,-2.27872000e-06,-1.33760736e-07
-2.27712000e-06,-1.00890625e+01,1.18859375e+03,-8.12500000e-01,9.14062500e-01,,-2.27712000e-06,-9.73227088e-07
-2.27552000e-06,-1.00859375e+01,1.18960938e+03,-3.59375000e-01,5.70312500e-01,,-2.27552000e-06,-2.08782581e-06
-2.27392000e-06,-1.00156250e+01,1.19085938e+03,7.81250000e-03,8.20312500e-01,,-2.27392000e-06,-2.42239571e-06
-2.27232000e-06,-1.00203125e+01,1.19039062e+03,-5.15625000e-01,1.08593750e+00,,-2.27232000e-06,-2.90598905e-06
-2.27072000e-06,-1.00828125e+01,1.19085938e+03,9.37500000e-02,1.17968750e+00,,-2.27072000e-06,-3.30771081e-06
-2.26912000e-06,-1.00500000e+01,1.19070312e+03,-4.21875000e-01,9.21875000e-01,,-2.26912000e-06,-3.62025867e-06
-2.26752000e-06,-9.95781250e+00,1.19156250e+03,0.00000000e+00,1.02343750e+00,,-2.26752000e-06,-4.02212117e-06
-2.26592000e-06,-1.01062500e+01,1.19289062e+03,-3.12500000e-02,1.04687500e+00,,-2.26592000e-06,-4.05194351e-06
-2.26432000e-06,-9.97343750e+00,1.19062500e+03,-1.32812500e-01,7.89062500e-01,,-2.26432000e-06,-4.20826973e-06
