Model,MSO58
Channel,CH6,,Channel,CH7,,Channel,CH8,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,2324.20000000,,Zero Index,2324.20000000,,Zero Index,2324.20000000,,Zero Index,2324.20000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-0.860000,,yPosition,-2.100000,,yPosition,-2.940000,,,

TIME,CH6,CH7,CH8,,TIME,MATH1
-3.71872000e-06,-3.88437500e+00,1.47585938e+03,6.68750000e+00,,-3.71872000e-06,1.57916948e-05
-3.71712000e-06,-4.06718750e+00,1.47585938e+03,5.93750000e+00,,-3.71712000e-06,3.06978727e-05
-3.71552000e-06,-4.09843750e+00,1.48476562e+03,4.59375000e+00,,-3.71552000e-06,4.31647168e-05
-3.71392000e-06,-4.03593750e+00,1.47703125e+03,6.15625000e+00,,-3.71392000e-06,5.58956090e-05
-3.71232000e-06,-4.08281250e+00,1.47890625e+03,4.68750000e+00,,-3.71232000e-06,6.87158899e-05
-3.71072000e-06,-4.00781250e+00,1.48046875e+03,4.04687500e+00,,-3.71072000e-06,7.90548074e-05
-3.70912000e-06,-4.06562500e+00,1.47726562e+03,6.67187500e+00,,-3.70912000e-06,9.17327270e-05
-3.70752000e-06,-4.01562500e+00,1.48289062e+03,5.10937500e+00,,-3.70752000e-06,1.05678948e-04
-3.70592000e-06,-4.00312500e+00,1.48164062e+03,4.09375000e+00,,-3.70592000e-06,1.16592637e-04
-3.70432000e-06,-4.03437500e+00,1.48054688e+03,5.45312500e+00,,-3.70432000e-06,1.27903899e-04
-3.70272000e-06,-4.00625000e+00,1.48000000e+03,4.20312500e+00,,-3.70272000e-06,1.39339289e-04
-3.70112000e-06,-4.04843750e+00,1.47953125e+03,4.64062500e+00,,-3.70112000e-06,1.49808548e-04
-3.69952000e-06,-4.05625000e+00,1.47843750e+03,5.29687500e+00,,-3.69952000e-06,1.61566189e-04
-3.69792000e-06,-4.02500000e+00,1.48031250e+03,4.53125000e+00,,-3.69792000e-06,1.73197201e-04
-3.69632000e-06,-4.16562500e+00,1.47875000e+03,5.09375000e+00,,-3.69632000e-06,1.84589240e-04
-3.69472000e-06,-4.14062500e+00,1.47906250e+03,5.01562500e+00,,-3.69472000e-06,1.96549881e-04
-3.69312000e-06,-4.00625000e+00,1.47304688e+03,5.79687500e+00,,-3.69312000e-06,2.09315869e-04
-3.69152000e-06,-4.10156250e+00,1.47820312e+03,4.46875000e+00,,-3.69152000e-06,2.21431706e-04
-3.68992000e-06,-4.12656250e+00,1.48382812e+03,5.09375000e+00,,-3.68992000e-06,2.32762875e-04
-3.68832000e-06,-4.05156250e+00,1.47562500e+03,5.98437500e+00,,-3.68832000e-06,2.45874020e-04
-3.68672000e-06,-4.11406250e+00,1.48007812e+03,4.15625000e+00,,-3.68672000e-06,2.57859821e-04
-3.68512000e-06,-4.11406250e+00,1.48148438e+03,3.92187500e+00,,-3.68512000e-06,2.67429248e-04
-3.68352000e-06,-4.14218750e+00,1.47500000e+03,5.35937500e+00,,-3.68352000e-06,2.78401480e-04
-3.68192000e-06,-4.10781250e+00,1.47742188e+03,3.75000000e+00,,-3.68192000e-06,2.89157819e-04
-3.68032000e-06,-4.01718750e+00,1.48406250e+03,3.14062500e+00,,-3.68032000e-06,2.97318795e-04
-3.67872000e-06,-3.98281250e+00,1.47835938e+03,5.46875000e+00,,-3.67872000e-06,3.07515322e-04
-3.67712000e-06,-3.96875000e+00,1.47820312e+03,4.67187500e+00,,-3.67712000e-06,3.19507933e-04
-3.67552000e-06,-3.94843750e+00,1.48046875e+03,4.85937500e+00,,-3.67552000e-06,3.30788054e-04
-3.67392000e-06,-4.06562500e+00,1.48203125e+03,5.73437500e+00,,-3.67392000e-06,3.43342195e-04
-3.67232000e-06,-3.92187500e+00,1.47648438e+03,4.92187500e+00,,-3.67232000e-06,3.55954660e-04
-3.67072000e-06,-4.06562500e+00,1.47664062e+03,4.84375000e+00,,-3.67072000e-06,3.67490313e-04
-3.66912000e-06,-4.02500000e+00,1.48023438e+03,4.95312500e+00,,-3.66912000e-06,3.79077712e-04
-3.66752000e-06,-3.83125000e+00,1.47726562e+03,4.92187500e+00,,-3.66752000e-06,3.90759873e-04
-3.66592000e-06,-3.96250000e+00,1.48359375e+03,4.60937500e+00,,-3.66592000e-06,4.02047357e-04
-3.66432000e-06,-4.10312500e+00,1.48398438e+03,3.85937500e+00,,-3.66432000e-06,4.12099907e-04
-3.66272000e-06,-3.94531250e+00,1.47523438e+03,5.39062500e+00,,-3.66272000e-06,4.23043646e-04
-3.66112000e-06,-4.03906250e+00,1.47671875e+03,3.87500000e+00,,-3.66112000e-06,4.33983427e-04
-3.65952000e-06,-4.09843750e+00,1.48031250e+03,4.00000000e+00,,-3.65952000e-06,4.43298253e-04
-3.65792000e-06,-3.97343750e+00,1.47757812e+03,5.42187500e+00,,-3.65792000e-06,4.54444234e-04
-3.65632000e-06,-4.07500000e+00,1.48054688e+03,4.28125000e+00,,-3.65632000e-06,4.65924095e-04
-3.65472000e-06,-4.04375000e+00,1.48429688e+03,4.40625000e+00,,-3.65472000e-06,4.76227113e-04
-3.65312000e-06,-4.05156250e+00,1.48265625e+03,5.81250000e+00,,-3.65312000e-06,4.88353602e-04
-3.65152000e-06,-3.95156250e+00,1.47828125e+03,5.00000000e+00,,-3.65152000e-06,5.01161092e-04
-3.64992000e-06,-3.99687500e+00,1.48062500e+03,3.79687500e+00,,-3.64992000e-06,5.11571590e-04
-3.64832000e-06,-3.99687500e+00,1.48398438e+03,4.43750000e+00,,-3.64832000e-06,5.21337148e-04
-3.64672000e-06,-3.89375000e+00,1.47882812e+03,4.50000000e+00,,-3.64672000e-06,5.31929079e-04
-3.64512000e-06,-3.97343750e+00,1.47921875e+03,3.75000000e+00,,-3.64512000e-06,5.41690504e-04
-3.64352000e-06,-4.01562500e+00,1.48515625e+03,4.06250000e+00,,-3.64352000e-06,5.50954894e-04
-3.64192000e-06,-3.89218750e+00,1.47640625e+03,5.65625000e+00,,-3.64192000e-06,5.62462374e-04
-3.64032000e-06,-3.98906250e+00,1.48289062e+03,5.01562500e+00,,-3.64032000e-06,5.75093203e-04
-3.63872000e-06,-4.06093750e+00,1.48312500e+03,3.89062500e+00,,-3.63872000e-06,5.85659523e-04
-3.63712000e-06,-3.97812500e+00,1.47500000e+03,5.21875000e+00,,-3.63712000e-06,5.96433878e-04
-3.63552000e-06,-3.85000000e+00,1.47742188e+03,4.29687500e+00,,-3.63552000e-06,6.07670634e-04
-3.63392000e-06,-3.97500000e+00,1.48015625e+03,3.96875000e+00,,-3.63392000e-06,6.17448764e-04
-3.63232000e-06,-3.97187500e+00,1.47359375e+03,5.79687500e+00,,-3.63232000e-06,6.28982030e-04
-3.63072000e-06,-3.88125000e+00,1.47820312e+03,4.10937500e+00,,-3.63072000e-06,6.40675426e-04
-3.62912000e-06,-3.94218750e+00,1.47554688e+03,4.09375000e+00,,-3.62912000e-06,6.50367409e-04
-3.62752000e-06,-4.01250000e+00,1.47781250e+03,5.28125000e+00,,-3.62752000e-06,6.61443570e-04
-3.62592000e-06,-3.91562500e+00,1.47437500e+03,4.76562500e+00,,-3.62592000e-06,6.73308386e-04
-3.62432000e-06,-3.94687500e+00,1.47953125e+03,4.32812500e+00,,-3.62432000e-06,6.84052298e-04
-3.62272000e-06,-4.04375000e+00,1.48132812e+03,5.62500000e+00,,-3.62272000e-06,6.95841154e-04
-3.62112000e-06,-3.85000000e+00,1.47695312e+03,5.01562500e+00,,-3.62112000e-06,7.08433392e-04
-3.61952000e-06,-3.99062500e+00,1.48078125e+03,4.73437500e+00,,-3.61952000e-06,7.19968113e-04
-3.61792000e-06,-3.94687500e+00,1.48703125e+03,5.78125000e+00,,-3.61792000e-06,7.32454064e-04
-3.61632000e-06,-3.95937500e+00,1.47476562e+03,5.93750000e+00,,-3.61632000e-06,7.46336707e-04
